Text,Sentiment,Hashtags,Retweets,Likes,Month,Hour
341,54,146,25,50,5,19
622,154,396,22,45,12,22
518,106,276,35,70,1,20
671,171,426,30,60,3,18
385,110,286,40,80,10,20
335,198,501,35,70,6,22
658,99,259,30,60,7,19
345,217,548,22,45,9,21
698,266,673,28,55,1,18
343,128,349,18,35,2,20
426,160,408,22,45,4,17
337,55,147,28,55,11,21
375,259,649,35,70,7,22
334,241,594,22,45,9,19
391,172,434,40,80,7,21
342,160,409,35,70,8,19
516,110,284,30,60,6,22
706,3,14,22,45,11,17
544,40,108,28,55,9,20
394,268,678,18,35,6,21
347,24,64,22,45,4,18
462,262,667,28,55,11,19
519,77,211,35,70,9,22
705,147,381,22,45,12,20
326,81,223,40,80,11,18
545,122,327,35,70,7,21
476,223,562,30,60,9,19
532,204,516,22,45,5,22
680,260,650,28,55,4,20
527,216,544,18,35,8,18
458,230,574,22,45,2,19
424,191,480,28,55,6,20
681,43,115,35,70,1,21
533,72,204,22,45,12,20
539,267,675,40,80,7,19
442,8,21,35,70,9,20
328,249,627,30,60,3,18
472,60,167,22,45,11,21
549,37,99,28,55,5,16
399,140,375,18,35,8,19
443,174,435,22,45,4,17
695,104,273,28,55,12,18
537,155,397,35,70,10,20
387,269,681,22,45,3,21
690,189,475,40,80,6,22
529,62,171,35,70,8,19
336,272,688,30,60,12,17
329,265,670,22,45,4,21
667,194,497,28,55,5,18
344,42,113,18,35,9,20
449,59,164,22,45,2,19
536,238,590,28,55,11,21
338,205,517,22,45,7,18
470,271,686,35,70,4,20
659,110,170,15,30,5,19
608,35,623,18,35,5,21
643,172,602,22,45,5,14
570,122,658,20,40,5,16
421,256,638,25,50,5,13
488,157,683,20,40,5,19
669,241,659,28,55,5,14
451,82,657,22,45,5,21
651,256,121,18,35,5,12
425,172,93,30,60,5,23
379,110,332,22,45,5,20
648,172,77,35,70,5,15
389,110,300,20,40,6,18
420,122,414,28,55,6,14
644,172,490,22,45,6,21
661,217,160,25,50,6,19
649,110,337,18,35,6,10
355,172,489,28,55,6,22
612,172,119,22,45,6,12
432,110,185,35,70,6,16
647,64,174,20,40,6,14
652,64,91,30,60,6,17
620,56,556,35,70,6,15
614,128,26,28,55,6,18
475,64,53,22,45,6,14
626,56,373,25,50,6,19
439,64,476,30,60,6,12
354,172,488,18,35,6,21
386,172,494,35,70,6,15
611,56,318,28,55,6,11
434,172,118,22,45,6,16
554,172,487,20,40,6,14
469,56,477,18,35,6,19
674,56,496,25,50,6,13
635,56,447,28,55,6,18
595,172,168,22,45,6,16
440,128,449,35,70,6,20
357,64,448,30,60,6,14
613,56,441,20,40,6,17
555,172,525,18,35,6,22
356,172,672,25,50,6,16
558,128,631,28,55,6,19
435,110,224,30,60,7,14
359,172,585,22,45,7,18
655,172,335,28,55,7,12
504,56,382,35,70,7,17
450,172,187,18,35,7,20
691,172,163,25,50,7,14
654,172,95,22,45,7,19
506,56,319,30,60,7,16
596,172,634,20,40,7,22
433,110,495,28,55,7,14
505,128,445,22,45,7,18
557,110,521,25,50,7,13
360,172,25,35,70,7,20
657,172,339,20,40,7,16
586,172,127,28,55,7,19
503,128,315,30,60,7,14
556,64,114,18,35,7,22
358,172,672,25,50,7,16
653,128,446,22,45,7,19
594,110,589,30,60,7,17
668,229,537,20,40,8,13
474,110,123,25,50,8,14
560,110,191,18,35,8,12
656,172,535,22,45,8,16
416,110,553,30,60,8,19
403,213,526,28,55,8,14
321,91,56,22,45,8,19
688,110,621,30,60,8,16
378,172,442,20,40,8,22
646,172,117,28,55,8,14
663,172,79,22,45,8,18
559,110,232,25,50,8,13
489,110,299,35,70,8,20
573,172,231,20,40,8,16
351,110,367,28,55,8,19
637,192,625,30,60,8,14
507,110,622,18,35,8,22
645,91,186,25,50,8,16
318,91,626,22,45,8,19
685,91,169,30,60,8,17
572,172,532,15,30,8,15
689,110,664,22,40,8,12
502,192,624,28,55,8,16
603,110,646,20,38,8,18
411,172,558,25,50,8,14
320,91,665,18,35,8,17
684,91,465,22,45,8,20
602,172,524,18,36,8,16
353,110,365,26,48,8,13
406,172,317,20,40,8,17
441,110,101,24,42,8,20
604,172,635,21,39,9,14
319,91,464,17,33,9,18
352,110,601,23,44,9,22
404,172,316,19,37,9,15
350,110,111,27,52,9,12
588,172,484,22,43,9,16
463,110,366,20,39,9,18
380,172,671,26,48,9,14
322,91,307,16,32,9,17
686,110,376,23,42,9,20
617,239,596,15,28,9,15
447,143,519,18,36,9,12
491,28,66,20,40,9,16
481,239,222,17,34,9,18
704,143,102,21,41,9,14
609,28,1,19,38,9,17
418,239,444,22,44,9,20
483,239,458,16,31,9,22
459,143,636,14,27,9,15
388,28,68,18,35,9,12
576,239,481,20,39,9,16
419,143,588,23,46,9,18
487,28,69,25,50,9,14
479,239,595,21,42,9,17
477,239,125,19,37,9,20
448,143,518,16,32,9,14
497,28,67,18,36,9,17
478,239,552,21,41,9,22
460,143,520,24,48,9,15
498,28,656,22,43,9,18
577,239,482,20,39,10,14
687,196,637,23,42,10,16
587,196,272,26,50,10,12
629,196,92,19,38,10,18
464,196,70,21,43,10,14
396,196,654,18,36,10,17
362,196,597,22,45,10,20
467,196,110,24,48,10,15
361,196,598,20,40,10,22
466,196,536,25,49,10,14
600,196,599,19,37,10,16
365,196,235,23,44,10,18
692,196,129,20,39,10,12
395,196,653,18,35,10,17
597,196,190,22,43,10,20
390,139,648,27,52,10,15
660,139,124,24,48,10,12
363,139,651,19,38,10,16
465,139,493,21,42,10,18
703,139,633,26,50,10,14
610,139,338,23,45,10,17
405,139,52,22,43,10,20
599,139,55,23,44,11,16
323,139,57,26,51,9,12
397,139,600,20,39,8,18
364,139,647,25,48,6,14
662,139,128,22,42,4,17
598,139,173,21,43,2,20
589,139,682,24,47,11,15
578,279,698,0,11,3,3
707,280,697,0,13,2,5
707,281,697,0,13,2,5
707,282,697,0,13,2,5
508,283,699,12,11,11,11
508,283,699,12,11,11,11
508,283,699,12,11,11,11
508,283,699,12,11,11,11
